iter	Passed	Remaining
0	1	191
1	4	212
2	6	203
3	7	180
4	9	177
5	10	169
6	12	163
7	13	157
8	15	153
9	16	149
10	17	145
11	20	150
12	21	145
13	22	140
14	25	146
15	28	152
16	30	148
17	32	146
18	33	141
19	34	137
20	35	134
21	36	130
22	38	127
23	39	125
24	40	122
25	42	119
26	43	116
27	44	113
28	45	111
29	47	110
30	48	108
31	50	106
32	51	104
33	52	101
34	53	99
35	55	97
36	56	95
37	57	93
38	58	91
39	60	90
40	61	87
41	61	84
42	62	82
43	63	80
44	64	79
45	65	77
46	66	75
47	68	74
48	69	72
49	70	70
50	71	69
51	73	67
52	74	65
53	75	64
54	76	62
55	77	60
56	78	59
57	80	58
58	81	56
59	82	55
60	84	53
61	85	52
62	86	50
63	88	49
64	89	48
65	90	46
66	92	45
67	93	43
68	94	42
69	95	40
70	97	39
71	98	38
72	100	37
73	102	35
74	103	34
75	104	32
76	105	31
77	106	30
78	107	28
79	109	27
80	109	25
81	111	24
82	112	23
83	114	21
84	115	20
85	116	18
86	117	17
87	119	16
88	119	14
89	120	13
90	121	12
91	123	10
92	124	9
93	125	8
94	127	6
95	128	5
96	129	4
97	131	2
98	132	1
99	133	0
